iter	Passed	Remaining
615	6348	45182
616	6358	45166
617	6366	45143
618	6375	45125
619	6385	45110
620	6394	45093
621	6403	45071
622	6412	45054
623	6422	45038
624	6430	45016
625	6439	44995
626	6449	44978
627	6457	44958
628	6466	44938
629	6475	44920
630	6484	44899
631	6493	44876
632	6503	44864
633	6511	44843
634	6526	44863
635	6540	44875
636	6551	44875
637	6562	44866
638	6577	44889
639	6593	44921
640	6610	44956
641	6628	44997
642	6646	45035
643	6663	45070
644	6680	45105
645	6699	45153
646	6717	45197
647	6739	45260
648	6750	45258
649	6761	45252
650	6771	45234
651	6783	45236
652	6793	45222
653	6806	45228
654	6821	45251
655	6835	45261
656	6847	45262
657	6858	45258
658	6871	45264
659	6888	45296
660	6905	45330
661	6921	45354
662	6936	45372
663	6949	45382
664	6960	45374
665	6969	45355
666	6979	45340
667	6989	45326
668	6998	45306
669	7008	45291
670	7017	45275
671	7030	45279
672	7042	45281
673	7052	45265
674	7067	45283
675	7081	45296
676	7095	45307
677	7108	45313
678	7119	45307
679	7133	45318
680	7149	45343
681	7166	45374
682	7179	45379
683	7191	45380
684	7201	45363
685	7214	45366
686	7223	45349
687	7233	45333
688	7242	45317
689	7251	45297
690	7261	45279
691	7269	45257
692	7278	45235
693	7286	45212
694	7295	45189
695	7304	45172
696	7313	45151
697	7321	45127
698	7331	45109
699	7340	45091
700	7349	45072
701	7357	45047
702	7366	45024
703	7374	44999
704	7382	44977
705	7392	44959
706	7401	44941
707	7409	44919
708	7419	44901
709	7428	44885
710	7436	44859
711	7444	44834
712	7452	44810
713	7460	44785
714	7469	44765
715	7478	44745
716	7487	44726
717	7496	44707
718	7505	44686
719	7514	44669
720	7523	44651
721	7532	44630
722	7541	44612
723	7550	44595
724	7559	44577
725	7569	44559
726	7577	44538
727	7586	44521
728	7597	44510
729	7606	44493
730	7616	44477
731	7624	44456
732	7632	44432
733	7641	44411
734	7650	44392
735	7659	44373
736	7667	44352
737	7678	44343
738	7689	44338
739	7697	44315
740	7707	44298
741	7715	44273
742	7723	44250
743	7731	44227
744	7739	44205
745	7749	44192
746	7759	44176
747	7768	44161
748	7777	44144
749	7786	44123
750	7796	44108
751	7805	44091
752	7813	44071
753	7822	44048
754	7830	44028
755	7839	44011
